ticker,sector
RGR,Industrials
RGS,Consumer Cyclical
RH,Consumer Cyclical
RHI,Industrials
RHP,Real Estate
RIBT,Consumer Defensive
RICK,Consumer Cyclical
RIG,Energy
RILY,Financial Services
RILYN,
RILYO,
RILYZ,
RING,
RIO,Basic Materials
RL,Consumer Cyclical
RLI,Financial Services
RM,Financial Services
RMBL,Consumer Cyclical
RMBS,Technology
RMD,Healthcare
RMNI,Technology
RMTI,Healthcare
RNA,Healthcare
RNG,Technology
RNGR,Energy
ROAD,Industrials
ROBT,
ROCK,Industrials
ROG,Technology
ROK,Industrials
ROKU,Communication Services
ROL,Consumer Cyclical
ROP,Technology
ROST,Consumer Cyclical
RPAY,Technology
RPD,Technology
RPG,
RPM,Basic Materials
RPRX,Healthcare
RPTX,Healthcare
RRBI,Financial Services
RRC,Energy
RRR,Consumer Cyclical
RS,Basic Materials
RSP,
RSSS,Technology
RTH,
RUN,Technology
RUSHA,Consumer Cyclical
RVLV,Consumer Cyclical
RY,Financial Services
RYTM,Healthcare
SABR,Technology
SAGE,Healthcare
SAH,Consumer Cyclical
SASR,Financial Services
SAVA,Healthcare
SAVE,
SBBA,
SBCF,Financial Services
SBGI,Communication Services
SBLK,Industrials
SBNY,Financial Services
SBS,Utilities
SBUX,Consumer Cyclical
SCCO,Basic Materials
SCHC,
SCHD,
SCO,
SCZ,
SDGR,Healthcare
SDOG,
SDY,
SE,Consumer Cyclical
SEF,
SENS,Healthcare
SFNC,Financial Services
SG,Consumer Cyclical
SGMO,Healthcare
SGRY,Healthcare
SH,
SHW,Basic Materials
SHYG,
SIBN,Healthcare
SIG,Consumer Cyclical
SIGA,Healthcare
SIGI,Financial Services
SIL,
SILC,Technology
SILK,
SIRI,Communication Services
SITC,Real Estate
SITE,Industrials
SITM,Technology
SIVR,
SJNK,
SKYW,Industrials
SLB,Energy
SLCA,
SLDB,Healthcare
SLG,Real Estate
SLGN,Consumer Cyclical
SLM,Financial Services
SLNO,Healthcare
SLQD,
SLS,Healthcare
SLV,
SLVO,
SLYV,
SM,Energy
SMAR,
SMBC,Financial Services
SMCI,Technology
SMDV,
SMG,Basic Materials
SMMT,Healthcare
SMOG,
SMP,Consumer Cyclical
SMPL,Consumer Defensive
SMTC,Technology
SNA,Industrials
SNAP,Communication Services
SNDL,Consumer Defensive
SNDR,Industrials
SNDX,Healthcare
SNN,Healthcare
SNOA,Healthcare
SNV,Financial Services
SNX,Technology
SO,Utilities
SOHOB,Real Estate
SOHOO,Real Estate
SOL,Technology
SOLO,
SON,Consumer Cyclical
SONN,Healthcare
SONO,Technology
SOXS,
SOXX,
SOYB,
SPAB,
SPCB,Industrials
SPCE,Industrials
SPDN,
SPFI,Financial Services
SPI,Technology
SPIB,
SPLG,
SPLK,
SPOT,Communication Services
SPR,Industrials
SPRO,Healthcare
SPSM,
SPTN,Consumer Defensive
SPWH,Consumer Cyclical
SPWR,Technology
SPXC,Industrials
SPXL,
SPXU,
SPY,
SU,Energy
SUB,
SUM,
SUN,Energy
SUNW,
SUSA,
SWBI,Industrials
SWI,Technology
SWK,Industrials
SWKS,Technology
SWN,
SWTX,Healthcare
SWX,Utilities
SXC,Basic Materials
SXI,Industrials
SY,Healthcare
SYK,Healthcare
SYNA,Technology
SYY,Consumer Defensive
T,Communication Services
TAC,Utilities
TAGS,
TAK,Healthcare
TAN,
TAP,Consumer Defensive
TAXF,
TBIO,Healthcare
TBLT,Industrials
TBPH,Healthcare
TCBK,Financial Services
TCOM,Consumer Cyclical
TCS,
TD,Financial Services
TDC,Technology
TDIV,
TDOC,Healthcare
TDS,Communication Services
TDW,Energy
TEAM,Technology
TECK,Basic Materials
TELL,
TENB,Technology
TENX,Healthcare
TEVA,Healthcare
TEX,Industrials
TFC,Financial Services
TFI,
TFII,Industrials
TFX,Healthcare
TGLS,Basic Materials
TGS,Energy
TGT,Consumer Defensive
TH,Industrials
THC,Healthcare
THG,Financial Services
THO,Consumer Cyclical
THS,Consumer Defensive
THY,
TILE,Consumer Cyclical
TIP,
TISI,Industrials
TITN,Industrials
TJX,Consumer Cyclical
TK,Energy
TKR,Industrials
TLH,
TLT,
TM,Consumer Cyclical
TMDX,Healthcare
TME,Communication Services
TMF,
TMO,Healthcare
TMP,Financial Services
TMST,
TMUS,Communication Services
TNA,
TNDM,Healthcare
TNET,Industrials
TNK,Energy
TNP,
TNXP,Healthcare
TOL,Consumer Cyclical
TOPS,Energy
TOUR,Consumer Cyclical
TPH,Consumer Cyclical
TPL,Energy
TPR,Consumer Cyclical
TPVG,Financial Services
TQQQ,
TRC,Industrials
TREE,Financial Services
TREX,Industrials
TRGP,Energy
TRI,Industrials
TRIP,Consumer Cyclical
TRMB,Technology
TRMD,Energy
TRMK,Financial Services
TRN,Industrials
TRNO,Real Estate
TROW,Financial Services
TROX,Basic Materials
TRP,Energy
TRTX,Real Estate
TRU,Financial Services
TRUP,Financial Services
TRV,Financial Services
TRX,Basic Materials
TS,Energy
TSCO,Consumer Cyclical
TSEM,Technology
TSLA,Consumer Cyclical
TSLX,Financial Services
TSM,Technology
TSN,Consumer Defensive
TT,Industrials
TTC,Industrials
TTEK,Industrials
TTMI,Technology
TTP,
TTT,
TTWO,Communication Services
TW,Financial Services
TWI,Industrials
TWLO,Technology
TWOU,
TWST,Healthcare
TX,Basic Materials
TXG,Healthcare
TXMD,Healthcare
TXN,Technology
TXRH,Consumer Cyclical
TYL,Technology
UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,Industrials
UBER,Technology
UBOH,Financial Services
UBS,Financial Services
UBSI,Financial Services
UBX,Healthcare
UCBI,
UCBIO,
UCIB,
UCO,
UEC,Energy
UEVM,
UFCS,Financial Services
UFEB,
UFPI,Basic Materials
UGI,Utilities
UGP,Energy
UI,Technology
UL,Consumer Defensive
ULH,Industrials
ULTA,Consumer Cyclical
UMBF,Financial Services
UMC,Technology
UMH,Real Estate
UNF,Industrials
UNFI,Consumer Defensive
UNG,
UNIT,Real Estate
UNM,Financial Services
UNP,Industrials
UOCT,
UPRO,
UPS,Industrials
URA,
URBN,Consumer Cyclical
URI,Industrials
USAP,
USB,Financial Services
USD,
USFD,Consumer Defensive
USFR,
USIG,
USL,
USM,Communication Services
USMV,
USO,
USPH,Healthcare
UTF,Financial Services
UTG,Financial Services
UTHR,Healthcare
UTL,Utilities
UUP,
UUUU,Energy
UVE,Financial Services
UVV,Consumer Defensive
V,Financial Services
VAC,Consumer Cyclical
VAL,Energy
VALE,Basic Materials
VAPO,
VAW,
VB,
VBK,
VC,Consumer Cyclical
VCEL,Healthcare
VCIT,
VCR,
VCSH,
VDE,
VEA,
VECO,Technology
VEEV,Healthcare
VEL,Financial Services
VERBW,Technology
VFC,Consumer Cyclical
VFF,Consumer Defensive
VFH,
VFMV,
VGIT,
VGLT,
VGR,
VGSH,
VGT,
VHT,
VICI,Real Estate
VICR,Technology
VIG,
VIOV,
VIPS,Consumer Cyclical
VIR,Healthcare
VIRT,Financial Services
VIS,
VIST,Energy
VIV,Communication Services
VIXY,
VLO,Energy
VLUE,
VLY,Financial Services
VMC,Basic Materials
VMI,Industrials
VNET,Technology
VNM,
VNO,Real Estate
VNOM,Energy
VNQ,
VNRX,Healthcare
VO,
VOD,Communication Services
VOE,
VOO,
VOOV,
VOT,
VPL,
VPU,
VRA,Consumer Cyclical
VRM,Consumer Cyclical
VRNS,Technology
VRNT,Technology
VRSK,Industrials
VRSN,Technology
VRT,Industrials
VRTS,Financial Services
VRTX,Healthcare
VST,Utilities
VSTO,
VT,
VTI,
VTOL,Energy
VTR,Real Estate
VTV,
VTVT,Healthcare
VTWO,
VUG,
VV,
VVV,Consumer Cyclical
VXF,
VXRT,Healthcare
VXUS,
VXX,
VYGR,Healthcare
W,Consumer Cyclical
WAB,Industrials
WABC,Financial Services
WAFD,Financial Services
WAFU,Consumer Defensive
WAL,Financial Services
WANT,
WASH,Financial Services
WAT,Healthcare
WB,Communication Services
WBA,Healthcare
WBS,Financial Services
WCC,Industrials
WCLD,
WCN,Industrials
WD,Financial Services
WDAY,Technology
WDC,Technology
WDFC,Basic Materials
WEAT,
WELL,Real Estate
WERN,Industrials
WES,Energy
WEX,Technology
WFC,Financial Services
WGO,Consumer Cyclical
WH,Consumer Cyclical
WHD,Energy
WHF,Financial Services
WHR,Consumer Cyclical
WINC,
WING,Consumer Cyclical
WIRE,
WIT,Technology
WIX,Technology
WKHS,Consumer Cyclical
WLDN,Industrials
WLDR,
WMS,Industrials
WMT,Consumer Defensive
