headline_len,body_len,n_sentences,n_tickers
0,903,51,25
0,230,6,13
0,149,6,8
0,188,4,6
0,762,21,6
0,468,18,13
0,579,18,16
0,164,5,9
0,203,7,20
0,1082,49,19
0,956,39,15
0,625,28,21
0,1514,70,26
0,1078,51,23
0,520,21,12
0,416,16,27
0,882,46,12
0,734,30,9
0,1329,57,30
0,504,23,13
0,5101,247,27
0,1156,47,39
0,938,39,31
0,168,4,3
0,981,38,34
0,890,39,34
0,1349,64,29
0,1105,42,18
0,551,27,18
0,978,41,23
0,539,15,29
0,2150,87,48
0,1109,32,25
0,1085,47,27
0,923,49,25
0,357,13,10
0,1920,87,58
0,800,32,23
0,584,28,16
0,1138,48,34
0,1365,59,42
0,829,33,40
0,842,42,24
0,1081,45,15
0,424,24,13
0,857,36,15
0,941,43,16
0,682,31,19
0,258,6,16
0,701,29,36
0,413,9,14
0,625,27,25
0,1178,50,39
0,731,33,21
0,277,6,16
0,1020,37,36
0,482,17,24
0,409,10,15
0,1592,77,39
0,380,14,9
0,414,10,14
0,951,44,26
0,1155,54,39
0,587,26,17
0,6499,296,44
0,844,38,27
0,1087,44,33
0,1117,49,33
0,1603,67,39
0,698,27,17
0,136,3,10
0,894,46,14
0,838,36,19
0,1337,62,27
0,155,4,5
0,1045,41,27
0,988,43,19
0,927,42,20
0,1501,67,27
0,621,35,22
0,1386,65,45
0,1974,67,58
0,1271,53,30
0,869,35,26
0,837,35,41
0,964,39,32
0,412,10,10
0,416,9,14
0,495,16,21
0,326,11,9
0,272,9,16
0,997,56,15
0,11082,468,69
0,250,2,30
0,138,5,6
0,196,7,14
0,4603,227,56
0,609,35,25
0,1102,45,32
0,312,10,16
0,405,9,16
0,889,35,35
0,861,34,34
0,1001,43,18
0,1813,57,74
0,509,18,29
0,817,39,28
0,1832,71,55
0,401,9,15
0,889,36,31
0,737,20,6
0,69,2,6
0,988,40,23
0,737,20,6
0,467,22,10
0,722,4,61
0,384,9,15
0,764,30,17
0,901,40,23
0,145,4,8
0,5884,279,68
0,830,35,11
0,689,30,25
0,811,38,24
0,1199,52,40
0,1137,44,39
0,1013,42,37
0,484,15,27
0,786,36,25
0,829,36,20
0,665,18,27
0,144,4,6
0,872,35,31
0,154,5,13
0,1346,47,62
0,317,17,12
0,1040,41,23
0,763,21,6
0,392,10,10
0,849,50,14
0,427,11,11
0,1746,77,28
0,541,28,14
0,1320,45,56
0,891,42,20
0,1047,5,131
0,883,32,34
0,12268,605,82
0,284,15,10
0,507,4,56
0,935,39,24
0,1193,44,37
0,1128,48,21
0,1011,34,40
0,383,14,29
0,767,20,12
0,1351,58,32
0,972,41,38
0,907,36,33
0,417,13,22
0,218,13,6
0,416,13,21
0,1071,48,38
0,1206,35,29
0,1646,74,26
0,605,31,23
0,753,35,20
0,416,9,16
0,269,7,20
0,1170,53,27
0,1283,57,46
0,972,46,12
0,988,44,30
0,820,37,24
0,422,11,13
0,715,34,25
0,215,7,12
0,888,35,24
0,370,10,13
0,381,14,9
0,949,44,27
0,902,38,31
0,665,35,24
0,938,42,44
0,830,32,26
0,476,22,11
0,718,16,32
0,1154,46,34
0,297,15,11
0,880,36,28
0,518,18,26
0,602,28,16
0,733,32,11
0,1205,49,20
0,250,8,13
0,1259,63,35
0,1364,73,32
0,357,16,20
0,992,45,31
0,1639,71,42
0,984,40,24
0,524,21,17
0,457,12,25
0,695,36,18
0,817,35,22
0,714,30,17
0,407,13,13
0,124,5,9
0,319,13,9
0,1402,67,32
0,754,39,26
0,810,45,15
0,765,40,33
0,761,20,11
0,646,35,23
0,230,5,21
0,483,13,24
0,1310,67,29
0,808,39,24
0,1071,49,20
0,1091,51,23
0,951,41,36
0,146,5,11
0,1443,5,169
0,394,10,9
0,482,23,9
0,507,16,14
0,121,4,8
0,743,36,34
0,828,22,8
0,1428,52,39
0,1867,69,53
0,620,28,19
0,1137,52,32
0,753,33,25
0,946,56,29
0,753,33,21
0,617,31,21
0,1094,49,22
0,862,30,38
0,421,12,16
0,178,7,17
0,1188,49,27
0,594,32,22
0,884,42,18
0,843,41,18
0,384,14,10
0,927,48,28
0,1368,59,49
0,146,5,9
0,348,11,18
0,1436,47,29
0,977,42,23
0,871,38,15
0,257,10,8
0,659,28,23
0,651,30,23
0,1874,89,30
0,1042,41,45
0,1452,62,40
0,351,13,9
0,728,38,21
0,437,17,34
0,381,14,10
0,929,42,39
0,882,37,15
0,235,6,7
0,806,38,42
0,347,15,10
0,350,13,9
0,1019,49,27
0,873,36,24
0,871,22,23
0,845,40,22
0,911,42,25
0,595,26,21
0,1186,42,37
0,1130,46,25
0,184,6,5
0,1292,60,34
0,1304,59,25
0,858,41,19
0,1015,52,29
0,1304,67,31
0,383,14,10
0,757,20,9
0,1376,74,31
0,871,41,19
0,2044,112,47
0,357,10,7
0,153,4,3
0,450,16,26
0,998,49,22
0,1618,64,29
0,507,14,36
0,1346,62,32
0,1022,44,15
0,212,8,14
0,1001,54,23
0,1505,72,33
0,1206,51,26
0,1094,49,36
0,2000,65,83
0,926,36,28
0,517,15,34
0,375,11,19
0,300,11,5
0,676,34,24
0,314,9,11
0,348,9,8
0,528,17,22
0,135,3,5
0,836,27,25
0,443,13,15
0,259,6,23
0,378,10,8
0,1242,51,50
0,787,4,72
0,1158,59,32
0,930,40,24
0,921,41,25
0,1434,68,24
0,780,40,23
0,1439,63,32
0,333,16,17
0,495,14,7
0,418,29,20
0,477,14,22
0,185,6,7
0,848,44,25
0,725,39,19
0,1280,58,40
0,820,21,10
0,957,46,35
0,3038,143,45
0,1506,58,26
0,1139,45,35
0,1146,44,40
0,999,42,28
0,1377,61,35
0,107,4,4
0,274,8,15
0,750,36,24
0,945,40,33
0,1108,47,30
0,1100,47,35
0,1245,53,35
0,586,21,27
0,665,29,16
0,1230,45,38
0,1488,65,48
0,900,38,15
0,736,32,20
0,675,20,29
0,905,40,19
0,1049,39,11
0,1024,41,18
0,1007,42,62
0,378,14,9
0,1829,87,31
0,307,15,12
0,551,27,14
0,503,17,27
0,1254,60,25
0,1123,53,20
0,1085,37,22
0,615,28,14
0,571,22,12
0,871,38,10
0,530,15,28
0,593,26,20
0,433,13,16
0,1227,61,37
0,525,25,18
0,2211,73,33
0,164,8,7
0,1168,45,41
0,882,37,15
0,1165,50,43
0,1704,80,42
0,1292,60,23
0,1087,44,33
0,910,42,31
0,250,14,5
0,406,9,14
0,1248,48,26
0,1166,44,41
0,1131,49,34
0,1458,45,34
0,783,39,26
0,385,17,36
0,694,33,34
0,235,8,17
0,1207,47,39
0,1261,45,28
0,717,35,18
0,172,6,14
0,788,32,34
0,1236,55,31
0,135,4,8
0,761,21,23
0,990,52,22
0,812,35,26
0,1028,42,36
0,2089,101,32
0,1281,50,52
0,770,34,24
0,1050,48,27
0,192,7,14
0,1056,43,14
0,1007,37,13
0,1190,42,39
0,602,24,20
0,416,10,15
0,1320,63,28
0,1091,46,24
0,1223,61,29
0,602,21,29
0,379,14,9
0,1162,53,42
0,779,37,20
0,1515,71,27
0,964,46,18
0,759,35,21
0,746,36,24
0,1087,48,42
0,1082,47,11
0,1149,49,33
0,527,15,27
0,391,16,36
0,852,42,34
0,1958,67,77
0,690,31,17
0,1112,52,44
0,618,29,16
0,1028,46,24
0,639,22,34
0,729,35,21
0,959,37,13
0,833,39,21
0,610,27,22
0,1977,67,157
0,1784,93,44
0,936,44,24
0,470,13,22
0,1069,52,24
0,726,16,31
0,670,19,42
0,915,40,12
0,592,19,13
0,1136,47,14
0,1055,44,28
0,730,36,22
0,1159,53,33
0,1244,56,23
0,1039,48,29
0,710,34,20
0,626,27,13
0,1052,31,38
0,381,12,18
0,395,10,12
0,243,7,6
0,213,6,7
0,858,37,23
0,208,8,6
0,452,13,22
0,305,8,9
0,1099,49,25
0,926,45,17
0,489,27,12
0,455,18,10
0,492,16,21
0,378,15,9
0,883,33,22
0,419,16,18
0,1003,48,40
0,926,36,37
0,1117,44,35
0,1178,54,35
0,76,4,7
0,1258,67,18
0,366,16,9
0,808,37,20
0,1059,45,37
0,519,33,15
0,853,22,11
0,785,22,39
0,1093,47,24
0,909,47,20
0,209,11,8
0,988,41,31
0,904,38,41
0,256,12,12
0,1079,47,27
0,3960,122,112
0,1848,86,62
0,934,40,23
0,148,5,4
0,574,16,28
0,400,10,33
0,310,8,11
0,1530,65,25
0,853,39,24
0,1016,54,12
0,981,51,24
0,404,9,17
0,996,29,39
0,657,37,25
0,1449,83,12
0,595,23,13
0,1427,58,22
0,673,19,25
0,479,14,20
0,649,29,23
0,652,40,15
0,767,37,9
0,428,10,13
0,919,40,20
0,1078,41,19
0,12223,576,102
0,345,11,18
0,1419,58,40
0,529,25,22
0,389,15,23
0,872,47,24
0,764,32,18
0,1315,58,38
0,868,45,22
0,1294,63,31
0,2060,105,68
0,414,10,11
0,848,38,19
0,1131,73,17
0,1111,45,22
0,959,30,35
0,1673,69,34
0,506,15,28
0,1266,58,12
0,1313,66,25
0,428,22,25
0,1134,45,27
0,950,4,98
0,1133,47,36
0,593,18,40
0,309,16,11
0,1215,46,20
0,2168,89,34
0,322,16,10
0,971,49,27
0,517,14,33
0,1029,48,25
0,756,26,39
0,226,7,14
0,422,14,12
0,1119,51,25
0,1155,45,35
0,2452,141,46
0,1302,53,21
0,1233,47,17
0,1367,62,35
0,1211,49,31
0,809,36,24
0,426,11,12
0,1169,46,17
0,1149,55,22
0,884,33,35
0,10301,399,66
0,758,32,27
0,635,20,30
0,1377,66,35
0,585,17,11
0,613,34,23
0,843,39,40
0,1339,48,25
0,753,28,20
0,3255,111,36
0,1240,47,27
0,1750,68,35
0,811,41,18
0,88,3,6
0,288,7,22
0,903,57,19
0,1023,46,29
0,1290,53,38
0,139,6,6
0,1398,4,167
0,966,50,19
0,630,25,20
0,1519,72,27
0,852,40,33
0,1175,57,23
0,481,13,22
0,268,8,9
0,271,10,12
0,398,9,18
0,426,13,24
0,445,17,22
0,733,37,22
0,599,22,16
0,1210,58,46
0,816,40,17
0,1120,49,39
0,521,18,28
0,737,20,6
0,213,8,8
0,633,24,31
0,900,40,29
0,138,6,9
0,1578,68,38
0,1409,59,41
0,1382,57,49
0,652,24,50
0,253,10,6
0,443,30,23
0,736,28,20
0,649,26,13
0,1513,64,33
0,1200,65,49
0,1112,48,40
0,1691,78,39
0,884,34,31
0,661,36,23
0,1401,50,20
0,894,38,24
0,1549,61,66
0,536,19,20
0,401,9,14
0,1039,39,27
0,869,41,22
0,729,39,8
0,292,10,18
0,427,12,7
0,1342,53,74
0,1063,53,42
0,470,26,25
0,965,46,16
0,1044,44,29
0,910,38,19
0,469,16,26
0,1559,67,35
0,863,32,25
0,907,48,42
0,1255,61,27
0,1019,40,51
0,839,37,21
0,1111,59,46
0,1133,43,23
0,592,19,34
0,472,15,25
0,1256,52,31
0,708,37,28
0,1722,74,36
0,924,38,20
0,840,33,38
0,699,20,45
0,1175,54,34
0,1162,55,16
0,842,34,37
0,313,10,23
0,293,9,19
0,456,16,20
0,2207,112,67
0,537,31,24
0,182,4,6
0,431,10,15
0,370,10,12
0,921,36,12
0,7282,359,34
0,1001,43,25
0,769,35,27
0,2291,47,323
0,1185,57,40
0,792,35,29
0,1061,46,35
0,1294,55,47
0,1003,44,30
0,1317,52,41
0,706,20,36
0,1045,45,30
0,1429,64,39
0,1010,43,29
0,611,36,25
0,466,22,14
0,333,8,4
0,713,36,24
0,121,5,12
0,1401,59,25
0,161,4,6
0,209,7,13
0,1112,53,19
0,1345,79,23
0,1112,44,30
0,1254,46,37
0,922,40,22
0,1319,48,35
0,247,8,12
0,392,9,14
0,534,31,25
0,224,13,6
0,512,16,23
0,432,13,24
0,411,11,11
0,141,6,9
0,89,2,7
0,420,13,23
0,739,20,8
0,1003,42,19
0,1860,76,94
0,244,13,8
0,1216,4,110
0,1577,75,37
0,84,3,6
0,272,17,34
0,1937,71,105
0,1016,31,26
0,206,8,19
0,237,8,14
0,859,26,34
0,477,14,19
0,543,26,15
0,1628,52,64
0,382,16,15
0,247,8,15
0,208,8,5
0,396,15,31
0,420,15,28
0,386,14,39
0,386,13,50
0,947,46,14
0,136,4,3
0,2146,92,53
0,92,4,8
0,431,14,15
0,2007,73,53
0,384,9,11
0,683,27,35
0,570,17,31
0,1176,48,26
0,1340,63,17
0,964,42,28
0,1654,67,18
0,666,37,23
0,140,4,8
0,1962,90,51
0,643,26,28
0,2335,64,64
0,1088,49,36
0,1607,69,38
0,573,15,32
0,1189,59,22
0,127,5,5
0,601,41,13
0,945,39,24
0,1254,63,27
0,1155,57,27
0,895,38,22
0,496,32,21
0,233,10,18
0,919,32,34
0,714,27,20
0,171,7,5
0,319,12,25
0,965,38,12
0,1805,56,51
0,911,46,18
0,482,16,20
0,715,30,25
0,357,19,16
0,266,9,13
0,728,34,20
0,758,34,21
0,729,20,35
0,765,47,22
0,457,13,29
0,960,43,24
0,418,9,18
0,579,29,18
0,574,29,16
0,319,16,10
0,1111,44,17
0,1088,43,17
0,150,4,10
0,9220,474,69
0,559,28,14
0,1375,57,36
0,955,41,30
0,500,23,10
0,429,12,16
0,722,27,32
0,398,12,20
0,200,7,13
0,1010,42,17
0,904,36,32
0,1168,49,27
0,1038,52,36
0,162,6,12
0,977,43,23
0,824,38,13
0,875,39,22
0,734,36,27
0,1113,58,31
0,988,36,44
0,456,19,17
0,202,8,14
0,303,8,16
0,362,10,9
0,1654,70,35
0,1181,38,36
0,1273,62,23
0,927,56,21
0,1134,61,34
0,507,23,14
0,1350,56,46
0,743,39,24
0,468,5,31
0,1488,71,45
0,1042,51,18
0,1994,60,51
0,12107,564,60
0,519,25,23
0,1277,62,24
0,2295,61,61
0,1227,54,24
0,256,12,12
0,848,37,29
0,172,5,16
0,960,44,27
0,1003,35,23
0,998,45,37
0,1033,47,29
0,1174,53,24
0,1040,53,25
0,1143,50,35
0,378,14,9
0,1028,57,21
0,207,5,13
0,512,26,15
0,831,34,13
0,970,38,27
0,491,14,17
0,442,12,17
0,902,41,10
0,831,36,21
0,274,6,16
0,1021,49,20
0,1042,48,26
0,343,18,11
0,857,36,15
0,1181,51,29
0,361,13,20
0,410,9,17
0,1264,52,37
0,440,10,13
0,1793,78,42
0,764,15,26
0,941,35,17
0,409,10,15
0,785,35,23
0,1226,48,26
0,595,29,18
0,1154,56,37
0,317,13,9
0,765,35,27
0,977,28,29
0,856,34,21
0,929,35,17
0,1013,43,34
0,1132,46,34
0,1098,56,12
0,446,15,14
0,1117,49,33
0,1124,53,50
0,864,38,18
0,381,14,9
0,322,13,10
0,1240,42,36
0,439,18,9
0,657,26,14
0,1982,71,54
0,902,43,20
0,420,9,17
0,412,10,11
0,771,40,24
0,413,12,10
0,1211,43,39
0,1257,63,26
0,397,12,7
0,867,40,22
0,660,32,25
0,117,3,6
0,910,48,24
0,1227,55,24
0,708,31,18
0,371,18,19
0,1090,50,30
0,851,44,26
0,1524,66,32
0,1153,52,36
0,1131,58,26
0,924,37,22
0,1006,47,26
0,317,20,5
0,16145,903,109
0,723,31,15
0,506,16,17
0,2288,123,50
0,458,16,11
0,740,34,22
0,385,9,13
0,1298,50,24
0,1187,43,20
0,388,9,13
0,944,30,36
0,398,21,12
0,772,38,8
0,979,47,11
0,842,36,47
0,458,21,9
0,649,4,79
0,5125,154,139
0,643,29,5
0,9629,374,63
0,328,9,23
0,1065,43,28
0,640,32,20
0,951,44,27
0,755,36,29
0,805,21,9
0,995,48,29
0,156,4,4
0,872,42,10
0,295,9,7
0,745,27,22
0,385,9,15
0,860,5,85
0,117,3,8
0,716,16,28
0,239,7,17
0,1066,46,36
0,717,35,30
0,802,38,7
0,454,12,10
0,170,4,7
0,1989,67,67
0,597,27,21
0,236,7,9
0,970,39,38
0,1554,72,42
0,796,38,28
0,915,41,23
0,647,31,10
0,154,4,3
0,218,6,10
0,1843,72,80
0,1099,43,49
0,110,4,11
0,179,6,11
0,1186,50,32
0,431,12,30
0,652,26,22
0,417,12,6
0,796,21,6
0,1051,49,17
0,522,14,37
0,649,5,37
0,930,41,19
0,1105,71,20
0,710,22,53
0,340,10,21
0,1097,55,32
0,138,6,9
0,514,24,8
0,1006,44,29
0,1822,83,55
0,621,22,18
0,192,5,6
0,207,8,16
0,1018,42,26
0,719,29,9
0,1380,69,47
0,655,21,46
0,826,21,11
0,404,9,17
0,1106,53,18
0,965,44,34
0,1126,51,23
0,464,24,23
0,832,39,18
0,942,53,23
0,1182,45,17
0,1119,58,26
0,1231,56,30
0,1073,47,16
0,827,37,10
0,1321,59,43
0,1239,51,24
0,651,25,33
0,382,20,24
0,945,52,13
0,1398,55,26
0,435,13,23
0,144,4,9
0,1422,71,22
0,655,19,26
0,1144,47,26
0,386,9,13
0,1257,51,19
0,946,49,19
0,845,41,16
0,4546,157,87
0,835,22,7
0,1108,48,19
0,184,5,10
0,294,11,21
0,209,4,8
0,1133,45,14
0,536,28,13
0,12783,556,61
0,1297,68,36
0,403,9,19
0,152,4,3
0,166,4,4
0,418,13,21
0,123,4,5
0,454,13,19
0,886,40,36
0,739,20,8
0,891,42,16
0,421,12,23
0,1278,59,35
0,1271,58,36
0,833,29,32
0,805,31,36
0,98,4,6
0,765,21,8
0,262,7,10
0,314,6,10
0,8430,338,74
0,289,13,11
0,903,35,42
0,466,14,19
0,440,16,19
0,942,37,31
0,3881,128,121
0,803,6,86
0,879,37,7
0,836,36,23
0,403,11,11
0,541,20,10
0,526,17,29
0,150,4,4
0,221,9,14
0,983,35,22
0,1113,41,32
0,755,45,25
0,566,21,19
0,600,27,21
0,1022,43,20
0,534,28,16
0,891,44,19
0,568,27,21
0,793,31,14
0,754,35,22
0,257,10,19
0,696,35,18
0,665,27,23
0,889,33,25
0,1026,37,34
0,1064,40,21
0,987,53,26
0,973,42,23
0,1679,60,39
0,362,20,8
0,255,10,21
0,807,38,25
0,1218,49,26
0,1317,75,34
0,571,25,24
0,332,9,13
0,187,7,18
0,867,34,31
0,351,17,12
0,357,13,10
0,792,36,23
0,251,5,9
0,595,28,21
0,1002,43,30
0,1114,44,37
0,429,12,21
0,991,31,28
0,782,34,20
0,715,32,20
0,484,13,24
0,1108,44,35
0,1062,54,15
0,564,23,15
0,185,8,14
0,1100,46,55
0,580,18,15
0,984,45,26
0,134,6,9
0,821,35,11
0,710,37,18
0,614,25,28
0,455,21,10
0,439,14,22
0,260,14,7
0,775,27,25
0,935,41,27
0,1018,44,17
0,785,37,16
0,997,40,10
0,1138,57,23
0,681,23,30
0,1000,42,32
0,615,19,27
0,1145,48,35
0,1562,75,29
0,399,9,17
0,1003,36,12
0,1233,48,28
0,1113,44,18
0,405,14,28
0,1350,79,41
0,1046,41,32
0,639,30,22
0,388,13,32
0,771,39,36
0,800,21,8
0,1104,53,19
0,961,39,37
0,765,33,26
0,971,40,30
0,929,39,21
0,938,40,23
0,742,32,16
0,1094,5,123
0,1376,42,22
0,1087,49,25
0,1325,56,34
0,704,29,18
0,468,13,24
0,400,18,19
0,286,16,7
0,1000,44,30
0,518,24,18
0,892,36,30
0,925,54,21
0,884,41,19
0,1925,56,65
0,881,46,15
0,344,13,11
0,919,39,21
0,906,41,25
0,272,7,12
0,819,38,22
0,1003,48,19
0,1107,49,36
0,743,4,75
0,421,13,16
0,678,34,22
0,1257,52,34
0,356,10,7
0,833,37,21
0,688,19,38
0,290,6,10
0,1130,48,20
0,582,26,25
0,750,36,18
0,727,34,19
0,878,34,37
0,923,49,25
0,1109,45,30
0,840,42,22
0,319,16,10
0,1179,57,15
0,1227,58,30
0,811,37,16
0,1235,49,28
0,400,9,16
0,983,50,16
0,1351,61,30
0,867,34,31
0,1187,47,24
0,1047,42,26
0,145,6,5
0,663,35,19
0,353,13,8
0,604,28,19
0,717,34,25
0,519,24,18
0,1416,58,25
0,225,11,13
0,487,13,21
0,474,13,21
0,260,7,16
0,905,27,29
0,1225,46,36
0,1011,41,33
0,300,10,12
0,369,14,9
0,685,21,20
0,615,32,14
0,801,37,33
0,1028,44,19
0,834,38,31
0,957,42,34
0,936,42,23
0,852,38,19
0,276,14,7
0,1017,42,14
0,715,31,21
0,830,36,24
0,1041,42,23
0,433,14,29
0,696,27,25
0,184,6,5
0,958,42,32
0,818,36,22
0,1169,53,30
0,1575,68,37
0,1240,48,29
0,832,36,33
0,856,47,12
0,1103,44,19
0,531,13,29
0,458,21,10
0,745,20,8
0,821,37,26
0,786,35,22
0,854,38,26
0,283,8,18
0,898,37,27
0,723,34,21
0,649,30,17
0,734,35,20
0,204,6,8
0,916,40,38
0,957,33,36
0,802,31,26
0,1429,55,30
0,1404,59,27
0,882,55,17
0,857,36,15
0,1540,68,42
0,368,14,9
0,607,17,28
0,731,16,32
0,962,48,30
0,1971,69,48
0,988,43,32
0,1068,46,14
0,874,37,16
0,842,37,17
0,309,16,11
0,806,35,22
0,455,14,14
0,785,35,23
0,306,6,18
0,1247,44,35
0,765,34,22
0,830,35,37
0,1166,48,15
0,1077,34,27
0,754,31,17
0,931,33,15
0,136,6,9
0,438,12,18
0,905,36,41
0,848,40,17
0,650,32,22
0,492,23,12
0,1199,51,28
0,1095,55,37
0,1034,35,43
0,682,23,35
0,417,9,13
0,442,11,14
0,706,31,13
0,630,26,21
0,961,37,49
0,752,34,25
0,1249,43,43
0,544,18,30
0,721,33,19
0,1046,40,46
0,1459,66,47
0,705,35,26
0,1348,65,34
0,812,40,25
0,439,14,13
0,452,15,12
0,572,16,28
0,435,15,31
0,1224,52,41
0,1309,60,35
0,233,8,5
0,422,17,14
0,441,15,30
0,300,7,13
0,131,3,5
0,407,16,34
0,291,8,13
0,491,26,22
0,419,12,27
0,465,27,25
0,1877,72,46
0,446,11,18
0,329,13,26
0,412,15,35
0,312,9,12
0,241,6,5
0,472,14,17
0,399,15,12
0,373,12,14
0,342,10,12
0,831,22,6
0,418,10,11
0,178,7,15
0,798,38,23
0,540,17,32
0,530,17,35
0,864,34,36
0,1343,58,39
0,819,40,20
0,140,6,5
0,1049,51,22
0,502,16,28
0,185,6,14
0,183,7,12
0,483,17,10
0,1359,4,156
0,832,34,45
0,752,20,10
0,860,38,34
0,441,15,17
0,637,36,14
0,404,9,11
0,950,41,30
0,958,46,39
0,2064,67,28
0,702,21,24
0,850,37,42
0,563,25,22
0,813,34,31
0,664,34,22
0,969,4,100
0,774,31,27
0,446,11,15
0,635,39,19
0,1080,44,21
0,1151,54,31
0,1019,36,13
0,767,21,8
0,964,45,20
0,1510,57,34
0,1518,70,71
0,1054,58,18
0,1377,58,23
0,1455,64,32
0,1050,50,17
0,185,4,7
0,691,27,17
0,487,18,11
0,417,12,10
0,426,12,16
0,934,40,32
0,917,43,25
0,3070,102,102
0,135,5,2
0,318,11,24
0,328,8,4
0,2126,95,53
0,479,13,24
0,1805,95,48
0,1087,59,17
0,632,26,14
0,965,41,18
0,1716,77,29
0,701,31,20
0,1402,59,22
0,1254,26,81
0,642,21,37
0,1283,30,80
0,1176,24,77
0,381,9,11
0,381,9,12
0,709,22,23
0,1163,21,84
0,996,17,73
0,842,18,65
0,530,20,33
0,575,18,14
0,209,10,8
0,773,35,10
0,811,45,23
0,397,9,15
0,165,4,3
0,303,9,12
0,1314,58,42
0,897,39,20
0,279,9,15
0,113,3,8
0,1823,65,47
0,822,21,12
0,747,34,20
0,1817,87,43
0,768,21,9
0,154,4,4
0,1095,44,26
0,854,41,28
0,531,22,8
0,435,10,11
0,391,10,10
0,1284,62,34
0,1048,36,23
0,921,52,15
0,962,58,27
0,885,44,34
0,741,20,6
0,1090,49,18
0,2674,136,53
0,1090,43,17
0,1400,54,54
0,1290,55,24
0,780,34,14
0,443,20,20
0,195,5,15
0,678,36,19
0,906,39,31
0,1862,73,30
0,930,40,33
0,1115,53,27
0,923,44,28
0,844,41,5
0,461,12,16
0,624,15,48
0,1016,40,48
0,277,8,11
0,915,39,23
0,1261,44,17
0,627,21,23
0,340,8,8
0,3214,110,67
0,1617,66,35
0,769,34,39
0,262,10,16
0,1336,46,38
0,12033,617,92
0,420,12,15
0,246,10,23
0,547,18,15
0,485,16,37
0,1157,59,22
0,346,16,10
0,2283,105,48
0,520,21,10
0,3494,111,114
0,2695,123,66
0,1426,63,40
0,942,46,29
0,450,17,15
0,868,42,31
0,1068,57,35
0,380,11,17
0,477,14,24
0,779,20,47
0,679,22,30
0,503,16,14
0,1080,50,17
0,1069,60,24
0,508,24,13
0,746,23,19
0,1156,52,20
0,897,43,30
0,672,22,28
0,974,52,25
0,260,10,8
0,157,4,3
0,696,27,25
0,473,13,21
0,435,12,18
0,401,12,8
0,1207,53,29
0,915,38,20
0,707,34,7
0,780,40,14
0,1163,42,36
0,1210,43,36
0,284,3,36
0,405,5,40
0,510,15,24
0,154,4,3
0,20909,589,386
0,184,5,10
0,267,12,10
0,177,8,16
0,347,16,15
0,759,35,28
0,979,41,31
0,535,27,17
0,700,26,23
0,1073,49,19
0,1202,46,32
0,1185,44,37
0,319,16,10
0,1045,45,14
0,1011,53,17
0,1089,48,12
0,880,30,26
0,1347,51,32
0,229,7,9
0,823,37,16
0,1067,46,28
0,804,35,20
0,592,28,21
0,375,14,8
0,424,15,19
0,791,37,21
0,554,17,25
0,1000,44,37
0,136,6,7
0,653,24,18
0,1035,43,33
0,1660,102,52
0,1215,47,27
0,290,15,10
0,1108,44,35
0,444,16,15
0,1082,52,22
0,1822,80,54
0,1363,52,18
0,962,43,47
0,1057,44,36
0,901,43,22
0,613,34,19
0,646,22,20
0,1333,66,33
0,1020,43,41
0,883,41,41
0,1494,60,76
0,383,14,9
0,1237,61,19
0,781,29,29
0,1090,44,28
0,1027,42,16
0,1513,79,28
0,347,15,10
0,387,14,23
0,688,26,13
